지역구,읍면동(법정동),내장형,외장형,인식표,동물소유자수,동물소유자당 동물등록수
성산구,내동,103,43,50,150,1.31
성산구,외동,114,32,167,132,2.37
성산구,가음동,328,156,132,500,1.23
성산구,귀곡동,3,0,1,2,2
성산구,귀산동,6,5,21,22,1.45
성산구,귀현동,0,1,0,1,1
성산구,남산동,93,53,55,158,1.27
성산구,남양동,547,310,202,860,1.23
성산구,남지동,6,0,0,4,1.5
성산구,대방동,550,319,247,864,1.29
성산구,대원동,71,63,16,113,1.33
성산구,반림동,385,303,235,786,1.17
성산구,반송동,0,1,1,2,1
성산구,반지동,380,249,254,679,1.3
성산구,사파동,583,356,280,944,1.29
성산구,상남동,957,593,425,1540,1.28
성산구,성산동,0,0,2,1,2
성산구,성주동,270,173,134,476,1.21
성산구,신월동,163,108,20,194,1.5
성산구,신촌동,143,59,90,234,1.25
성산구,안민동,165,98,75,270,1.25
성산구,양곡동,7,6,7,12,1.67
성산구,용호동,109,77,18,146,1.4
성산구,웅남동,1,0,1,1,2
성산구,중앙동,371,214,203,551,1.43
성산구,천선동,20,17,22,45,1.31
성산구,토월동,2,1,0,2,1.5
성산구,가음정동,27,27,16,56,1.25
성산구,불모산동,2,0,0,2,1
성산구,사파정동,14,12,2,19,1.47
의창구,동읍,627,277,474,922,1.49
의창구,북동,24,2,24,35,1.43
의창구,북면,1040,466,455,1439,1.36
의창구,용동,3,0,0,2,1.5
의창구,중동,319,160,92,439,1.3
의창구,대산면,211,107,269,390,1.51
의창구,대원동,207,107,144,380,1.21
의창구,도계동,683,291,277,962,1.3
의창구,동정동,96,41,57,156,1.24
성산구,두대동,2,0,1,3,1
의창구,명곡동,1,0,1,2,1
의창구,명서동,787,343,426,1180,1.32
의창구,반계동,2,3,10,5,3
의창구,봉곡동,566,283,289,864,1.32
의창구,봉림동,136,64,70,220,1.23
의창구,사림동,359,211,202,598,1.29
성산구,삼동동,5,1,9,12,1.25
의창구,서상동,211,91,104,312,1.3
의창구,소계동,138,53,82,202,1.35
의창구,소답동,342,156,144,502,1.28
성산구,신월동,396,188,249,658,1.27
성산구,용호동,241,135,228,476,1.27
의창구,차용동,0,0,5,1,5
의창구,퇴촌동,3,0,0,2,1.5
의창구,팔용동,614,306,253,928,1.26
마산합포구,창동,6,6,4,15,1.07
마산합포구,현동,177,104,62,267,1.28
마산합포구,가포동,63,30,21,82,1.39
마산합포구,교방동,217,147,127,389,1.26
마산합포구,교원동,47,35,33,90,1.28
마산합포구,구산면,141,31,71,151,1.61
마산합포구,남성동,29,11,22,37,1.68
마산합포구,대내동,19,8,2,24,1.21
마산합포구,대외동,17,4,10,21,1.48
마산합포구,대창동,17,10,7,29,1.17
마산합포구,덕동동,21,17,14,39,1.33
마산합포구,동성동,18,15,6,29,1.34
마산합포구,문화동,33,12,16,50,1.22
마산합포구,반월동,22,12,5,34,1.15
마산합포구,부림동,22,10,7,29,1.34
마산합포구,산호동,544,215,226,711,1.39
마산합포구,상남동,158,85,111,231,1.53
마산합포구,서성동,29,16,39,54,1.56
마산합포구,성호동,29,32,24,62,1.37
마산합포구,수성동,6,1,10,10,1.7
마산합포구,신월동,22,22,16,43,1.4
마산합포구,신창동,22,5,6,26,1.27
마산합포구,신흥동,17,17,18,39,1.33
마산합포구,예곡동,29,13,11,33,1.61
마산합포구,오동동,160,74,72,239,1.28
마산합포구,완월동,198,115,130,334,1.33
