시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
남양주시,와부읍,4969,309,4657,3,3190,1335,444,85,3593,1.38,5,2024-02-05
남양주시,진접읍,3213,268,7340,7,4441,2568,606,93,5433,1.4,8,2024-02-05
남양주시,화도읍,10306,504,9799,3,5997,3031,1278,7082,6315,1.45,10,2024-02-05
남양주시,진건읍,1947,160,1783,4,1245,482,220,72,1274,1.42,3,2024-02-05
남양주시,오남읍,5239,229,5008,2,3538,1380,321,82,3835,1.36,3,2024-02-05
남양주시,퇴계원읍,1885,81,1804,0,1277,511,97,107,1417,1.33,1,2024-02-05
남양주시,별내면,1286,29,1256,1,649,434,203,62,944,1.36,1,2024-02-05
남양주시,수동면,1209,96,1109,4,751,272,186,82,625,1.93,0,2024-02-05
남양주시,조안면,410,44,365,1,267,94,49,60,250,1.64,0,2024-02-05
남양주시,호평동,4248,138,4109,1,2456,1339,453,89,3197,1.33,4,2024-02-05
남양주시,평내동,3213,80,3132,1,1988,1015,210,74,3447,1.31,3,2024-02-05
남양주시,금곡동,1641,84,1557,0,991,503,147,66,1226,1.34,2,2024-02-05
남양주시,양정동,347,9,338,0,162,124,61,87,208,1.66,0,2024-02-05
남양주시,다산1동,6390,199,6187,4,3118,2617,655,88,4796,1.33,10,2024-02-05
남양주시,다산2동,1388,11,1376,1,722,309,357,106,1128,1.23,4,2024-02-05
남양주시,별내동,5893,219,5674,0,2928,2565,400,81,4423,1.33,8,2024-02-05
