dog_facilities_name,dog_facilities_type,address_name
하이바이분양소 본점,반려동물분양,남양주 와부읍
힐링버블,반려동물미용,남양주 와부읍
봉봉멍스쿨 애견유치원 애견호텔 애견미용,반려동물호텔,남양주 와부읍
덕소동물병원,동물병원,남양주 와부읍
레몽,반려동물미용,남양주 와부읍
도그브릿지 강아지 방문훈련 애견교육,애견훈련,남양주 와부읍
예쁘개편안하개 애견미용&애견호텔&애견놀이방,,남양주 와부읍
메디포즈동물병원,동물병원,남양주 와부읍
내품애동물병원,동물병원,남양주 와부읍
댕댕이이발소,반려동물미용,남양주 와부읍
로하스동물병원,동물병원,남양주 와부읍
덕소멍묭,반려동물미용,남양주 와부읍
나은온누리약국,약국,남양주 와부읍
플레이주,동물원,남양주 와부읍
리틀펫애견미용호텔,반려동물호텔,남양주 와부읍
멍블리,반려동물미용,남양주 와부읍
해피동물병원,동물병원,남양주 와부읍
펫신드룸,동물사료제조,남양주 와부읍
평강약국,약국,남양주 와부읍
멍냥의민족 남양주덕소점,반려동물용품,남양주 와부읍
반려견하우스,애견훈련,남양주 와부읍
멍냥마트,반려동물용품,남양주 와부읍
어질리티몰,애견훈련,남양주 와부읍
네이처애견훈련학교,애견훈련,남양주 와부읍
독스하트아카데미,애견훈련,남양주 와부읍
독일훈데슐레,애견훈련,남양주 와부읍
탤런트애견훈련소,애견훈련,남양주 와부읍
건강드림약국,약국,남양주 와부읍
펫보스,애견용품,남양주 와부읍
두나펫코리아,애견사료,남양주 와부읍
주렁주렁 동물원 하남점,동물원,하남 신장동
쥬라리움 하남점,동물원,하남 망월동
몰리스펫샵 스타필드하남점,반려동물용품,하남 신장동
펫파크스타필드하남점,반려견놀이터,하남 신장동
미사아일랜드펫존,반려동물,하남 미사동
24시튼튼동물의료센터,동물병원,하남 망월동
다나을동물병원 미사본점,동물병원,하남 망월동
21그램 반려동물장례식장 남양주3호점,반려동물장례,남양주 화도읍
24시와이즈동물메디컬센터,동물병원,하남 덕풍동
미라클 독,반려동물미용,하남 망월동
앵무새카페 버드리 하남점,동물카페,하남 풍산동
하남스타약국,약국,하남 신장동
남양주동물병원,동물병원,남양주 평내동
어강동물병원,동물병원,남양주 금곡동
트레벨동물병원,동물병원,하남 신장동
파충류샵 아토리,반려동물분양,하남 신장동
하남동물병원,동물병원,하남 덕풍동
안아줄개,반려동물미용,하남 망월동
어서오시개,반려동물미용,하남 덕풍동
으나펫,반려동물미용,하남 망월동
한강생물보전연구센터,야생동물구조센터,하남 미사동
프리랑애견유치원호텔,애견훈련,하남 망월동
크레아뷰,반려동물호텔,남양주 평내동
러브펫동물병원,동물병원,하남 신장동
도그마루 고양이 강아지 무료,반려동물분양,하남 망월동
한국조류보호협회 하남시지회,야생동물구조센터,하남 미사동
스위프트살롱,반려동물미용,하남 망월동
웰니스동물병원 스타필드 하남점,동물병원,하남 신장동
해피독 트레이닝 스쿨,애견훈련,하남 망월동
예쁘면 다개,반려동물미용,남양주 평내동
누리동물병원,동물병원,하남 신장2동
모어포유,애견훈련,하남 덕풍동
메디약국,약국,하남 망월동
설뭉치,반려동물미용,하남 덕풍동
대관령동물병원,동물병원,남양주 금곡동
개벤져스,반려동물미용,남양주 평내동
루트231 애견유치원 & 애견호텔,애견훈련,하남 신장동
인파밭,반려동물분양,하남 덕풍동
개팔자상팔자,반려동물미용,하남 신장동
퍼시독,애견훈련,하남 망월동
24시공감365동물의료센터,동물병원,남양주 진접읍
주견야DOG,반려동물미용,남양주 진접읍
수염농장,반려동물,남양주 진접읍
이리온 동물메디컬센터,동물병원,남양주 진접읍
진접솔동물병원,동물병원,남양주 진접읍
진접 애견유치원 애견호텔 퍼피빈,반려동물,남양주 진접읍
몽그루밍,반려동물미용,남양주 진접읍
밝은약국,약국,남양주 진접읍
해밀동물병원,동물병원,남양주 진접읍
금강애견학교,애견훈련,남양주 진접읍
아무도없개 진접점,반려동물용품,남양주 진접읍
주주펫살롱,반려동물미용,남양주 진접읍
멍멍나래,반려동물미용,남양주 진접읍
장현동물병원,동물병원,남양주 진접읍
앵무새카페 리프패럿 진접점,반려동물용품,남양주 진접읍
드림동물병원,동물병원,남양주 진접읍
진접동물병원,동물병원,남양주 진접읍
털뭉치들,반려동물미용,남양주 진접읍
꽃돌이네,반려동물미용,남양주 진접읍
아이묭,반려동물미용,남양주 진접읍
아침약국,약국,남양주 진접읍
별이네펫,반려동물호텔,남양주 진접읍
이즈메이드,반려동물용품,남양주 진접읍
강아지나라동물병원,동물병원,남양주 진접읍
엣지잇개,반려동물미용,남양주 진접읍
건강플러스약국,약국,남양주 진접읍
다산동물약국,약국,남양주 진접읍
광릉내애견,반려동물미용,남양주 진접읍
미소펫푸드,동물사료제조,남양주 진접읍
에이티바이오,동물사료제조,남양주 진접읍
러블리펫,반려동물용품,남양주 진접읍
비케이컴퍼니,동물사료제조,남양주 진접읍
오션,동물사료제조,남양주 진접읍
펫엔조이,반려동물,남양주 진접읍
유레크레,반려동물분양,남양주 진접읍
명인 반려견 방문학교,애견훈련,남양주 진접읍
네이즈 Products Trading Co.,반려동물용품,남양주 진접읍
두웃,동물사료제조,남양주 진접읍
도마뱀 있ZOO,반려동물용품,남양주 진접읍
이엠연구소 공장,동물사료제조,남양주 진접읍
핫독연기견학교,애견훈련,남양주 진접읍
영진알비에스,반려동물,남양주 진접읍
엔터펫,반려동물,남양주 진접읍
한라동물약품병원,의약품제조,남양주 진접읍
꼬기랑놀자,수족관,남양주 진접읍
365종로온누리약국,약국,남양주 진접읍
온드,"카페,디저트",남양주 진접읍
참약사 진접우리약국,약국,남양주 진접읍
유니더버터,"카페,디저트",남양주 진접읍
광릉내열린약국,약국,남양주 진접읍
장보는강아지와고양이 장현점,애견용품,남양주 진접읍
스프링펫,애견용품,남양주 진접읍
공드린상조,장례대행,남양주 진접읍
글로리펫,애견용품,남양주 진접읍
유니노스,인터넷상거래,남양주 진접읍
이레펫,애견사료,남양주 진접읍
보령산업,제조업,남양주 진접읍
누키스트,가구제조,남양주 진접읍
주파크,동물원,포천 소흘읍
스머프곤충나라,동물원,남양주 진건읍
애니멀리움,반려동물분양,남양주 진건읍
하이동물병원,동물병원,남양주 오남읍
24시위너스동물의료센터,동물병원,남양주 호평동
동인동물병원,동물병원,남양주 호평동
올리브독,반려동물미용,남양주 호평동
강아지야애견샵,반려동물미용,남양주 오남읍
애니멀하우스,반려동물호텔,남양주 오남읍
케니애견돌봄센터,반려동물호텔,남양주 호평동
핏어팻,반려동물미용,남양주 별내동
아마존펫 남양주점,반려동물용품,남양주 호평동
몽몽이엠파크,반려동물장례,남양주 화도읍
루시드펫,반려동물미용,남양주 화도읍
21그램 반려동물장례식장 남양주3호점,반려동물장례,남양주 화도읍
마석동물병원,동물병원,남양주 화도읍
나라라펫,반려동물미용,남양주 화도읍
마이펫동물병원,동물병원,남양주 화도읍
핫독,반려동물미용,남양주 화도읍
창현동물병원,동물병원,남양주 화도읍
대학동물종합병원,동물병원,남양주 화도읍
겟풀 남양주점,반려동물미용,남양주 화도읍
한사랑동물병원,동물병원,남양주 화도읍
