,상호명,카테고리,주소
0,에코랜드,"도시,테마공원",남양주 별내면
1,남양주청학근린공원,근린공원,남양주 별내면
2,남양주청학근린공원은행나무길,부속시설,남양주 별내면
3,남양주청학근린공원물놀이장,수영장,남양주 별내면
4,남양주청학근린공원배드민턴장,부속시설,남양주 별내면
5,남양주청학근린공원바닥분수,부속시설,남양주 별내면
6,남양주청학근린공원보호수(은행나무),부속시설,남양주 별내면
7,남양주청학근린공원은행나무쉼터,부속시설,남양주 별내면
8,청학2호공원,근린공원,남양주 별내면
9,청학6호공원,근린공원,남양주 별내면
10,청학5호공원,근린공원,남양주 별내면
11,남양주청학근린공원개방화장실,화장실,남양주 별내면
12,남양주청학근린공원데크쉼터,부속시설,남양주 별내면
13,남양주청학근린공원체력단련장,부속시설,남양주 별내면
14,남양주청학제1어린이공원,공원,남양주 별내면
15,남양주청학제3어린이공원,공원,남양주 별내면
16,청학4호공원,근린공원,남양주 별내면
17,남양주청학근린공원화계,부속시설,남양주 별내면
18,남양주청학근린공원휴게쉼터,부속시설,남양주 별내면
19,수목장공원묘지추모공원상담전화,납골당,남양주 별내면
20,경기도수목장추모공원납골당상담전화,납골당,남양주 별내면
