,상호명,카테고리,주소
0,위너스동물의료센터,동물병원,남양주 호평동
1,동인동물병원,동물병원,남양주 호평동
2,케니애견돌봄센터,반려동물호텔,남양주 호평동
3,호평동물병원,동물병원,남양주 호평동
4,올리브독,반려동물미용,남양주 호평동
5,멍바이멍반려견유치원,반려동물,남양주 호평동
6,올리브약국,약국,남양주 호평동
7,온희,반려동물미용,남양주 호평동
8,몽스파,반려동물미용,남양주 호평동
9,애견깍새,반려동물미용,남양주 호평동
10,꼬모의 산책,반려동물미용,남양주 호평동
11,365드림약국,약국,남양주 호평동
12,아마존펫 남양주점,반려동물용품,남양주 호평동
13,호평애견,반려동물,남양주 호평동
14,초원,반려동물,남양주 호평동
15,스마트약국,약국,남양주 호평동
16,디테이,미용실,남양주 호평동
17,도그마캣 호평점,애견용품,남양주 호평동
18,다정약국,약국,남양주 호평동
19,열린약국,약국,남양주 호평동
20,3층엔 참약국,의약품제조,남양주 호평동
21,바오아트스튜디오,"미술,공예품",남양주 호평동
22,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 호평동
