,상호명,카테고리,주소
0,물의정원,자연공원,남양주 조안면
1,다산생태공원,자연공원,남양주 조안면
2,마음정원,자연공원,남양주 조안면
3,코코몽팜빌리지,테마파크,남양주 조안면
4,물의정원연꽃군락지,부속시설,남양주 조안면
5,조안면체육공원,"도시,테마공원",남양주 조안면
6,한강9공구족구장,부속시설,남양주 조안면
7,천주교신당동성당소화묘원,묘지,남양주 조안면
8,한강9공구족구장,부속시설,남양주 조안면
9,한강9공구체력단련장,부속시설,남양주 조안면
10,이마트24 다산생태공원점,편의점,남양주 조안면
11,시우리낚시공원,낚시터,남양주 조안면
12,생활체육공원야생화공원,"도시,테마공원",남양주 조안면
13,아라크노피아생태수목원조각공원,부속시설,남양주 조안면
14,조안면체육공원게이트볼장,부속시설,남양주 조안면
15,아라크노피아생태수목원장승공원로,부속시설,남양주 조안면
16,조안면체육공원개방화장실,화장실,남양주 조안면
17,진중리물의공원입구좌측개방화장실,화장실,남양주 조안면
18,면사무소건너편조안야생화공원개방화장실,화장실,남양주 조안면
19,언덕카페,"카페,디저트",남양주 조안면
20,봉주르 제빵소,"카페,디저트",남양주 조안면
21,수목장공원묘지추모공원상담전화,납골당,남양주 조안면
22,경기도수목장추모공원납골당상담전화,납골당,남양주 조안면
