행정동,hospital,product,funeral,pharmacy,foster_place,adoption,complex,playground,photo,beauty,all_facilities,ratio
와부읍,5,5,0,3,8,2,0,0,0,6,29,8.861214533
진접읍,8,8,0,8,7,1,0,0,0,9,41,13.00808833
화도읍,7,9,2,4,3,0,1,0,0,19,45,16.83656439
진건읍,1,1,1,2,4,2,0,0,0,5,16,3.363718064
오남읍,3,5,0,5,2,2,0,0,1,10,28,9.300295288
퇴계원읍,1,0,0,2,0,0,0,0,0,5,8,3.476697907
별내면,1,0,0,1,1,0,0,0,0,1,4,2.287841828
수동면,0,2,0,1,1,1,0,0,0,1,6,1.473873411
조안면,0,0,0,0,3,0,0,0,0,0,3,0.580305559
호평동,3,2,0,6,2,0,0,0,0,6,19,7.623571704
평내동,2,2,0,2,2,0,0,0,0,6,14,5.949415843
금곡동,3,2,0,2,0,0,0,0,0,0,7,2.955449994
양정동,0,2,0,0,1,0,0,0,0,0,3,0.562331493
다산동,12,11,0,15,6,2,2,1,1,27,77,13.29053794
별내동,7,11,0,5,4,1,0,0,0,20,48,10.43009372
