읍면동명,등록소유자수,세대수,ratio
와부읍,3451,22566,15.29291855003102
진접읍,5066,39400,12.857868020304569
화도읍,6557,49223,13.321008471649431
진건읍,1310,10376,12.625289128758673
오남읍,3622,21832,16.59032612678637
퇴계원읍,1354,11803,11.471659747521816
별내면,891,8360,10.657894736842104
수동면,574,4849,11.83749226644669
조안면,226,1991,11.351079859367152
호평동,2969,21718,13.670687908647206
평내동,2317,14485,15.995857783914394
금곡동,1151,8950,12.860335195530725
양정동,219,2157,10.15299026425591
다산동,5176,52851,9.793570604151293
별내동,4062,33869,11.993268180341905
