행정동,hospital,product,funeral,pharmacy,foster_place,adoption,complex,playground,photo,beauty,등록소유자수,ratio,all_facilities
와부읍,5,5,0,3,8,2,0,0,0,6,3451,8.861214533,27
진접읍,8,8,0,8,7,1,0,0,0,9,5066,13.00808833,40
화도읍,7,9,2,4,3,0,1,0,0,19,6557,16.83656439,42
진건읍,1,1,1,2,4,2,0,0,0,5,1310,3.363718064,13
오남읍,3,5,0,5,2,2,0,0,1,10,3622,9.300295288,25
퇴계원읍,1,0,0,2,0,0,0,0,0,5,1354,3.476697907,8
별내면,1,0,0,1,1,0,0,0,0,1,891,2.287841828,4
수동면,0,2,0,1,1,1,0,0,0,1,574,1.473873411,5
조안면,0,0,0,0,3,0,0,0,0,0,226,0.580305559,3
호평동,3,2,0,6,2,0,0,0,0,6,2969,7.623571704,19
평내동,2,2,0,2,2,0,0,0,0,6,2317,5.949415843,14
금곡동,3,2,0,2,0,0,0,0,0,0,1151,2.955449994,7
양정동,0,2,0,0,1,0,0,0,0,0,219,0.562331493,3
다산동,12,11,0,15,6,2,2,1,1,27,5176,13.29053794,71
별내동,7,11,0,5,4,1,0,0,0,20,4062,10.43009372,47
