,dog_facilities_name,dog_facilities_type,address_name,re_dog_facilities_type
0,위너스동물의료센터,동물병원,남양주 호평동,병원
1,동인동물병원,동물병원,남양주 호평동,병원
2,케니애견돌봄센터,반려동물호텔,남양주 호평동,위탁
3,호평동물병원,동물병원,남양주 호평동,병원
4,올리브독,반려동물미용,남양주 호평동,미용
5,멍바이멍반려견유치원,반려동물,남양주 호평동,위탁
6,올리브약국,약국,남양주 호평동,약국
7,온희,반려동물미용,남양주 호평동,미용
8,몽스파,반려동물미용,남양주 호평동,미용
9,애견깍새,반려동물미용,남양주 호평동,미용
10,꼬모의 산책,반려동물미용,남양주 호평동,미용
11,365드림약국,약국,남양주 호평동,약국
12,아마존펫 남양주점,반려동물용품,남양주 호평동,용품
13,호평애견,반려동물,남양주 호평동,미용
14,초원,반려동물,남양주 호평동,0
15,스마트약국,약국,남양주 호평동,약국
16,디테이,미용실,남양주 호평동,0
17,도그마캣 호평점,애견용품,남양주 호평동,용품
18,다정약국,약국,남양주 호평동,약국
19,열린약국,약국,남양주 호평동,약국
20,3층엔 참약국,의약품제조,남양주 호평동,약국
21,바오아트스튜디오,"미술,공예품",남양주 호평동,0
22,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 호평동,0
