dog_facilities_name,dog_facilities_type,address_name,new_type
하이바이분양소 본점,반려동물분양,남양주 와부읍,위탁
힐링버블,반려동물미용,남양주 와부읍,미용
봉봉멍스쿨 애견유치원 애견호텔 애견미용,반려동물호텔,남양주 와부읍,위탁
덕소동물병원,동물병원,남양주 와부읍,병원
레몽,반려동물미용,남양주 와부읍,미용
도그브릿지 강아지 방문훈련 애견교육,애견훈련,남양주 와부읍,위탁
예쁘개편안하개 애견미용&애견호텔&애견놀이방,,남양주 와부읍,위탁
메디포즈동물병원,동물병원,남양주 와부읍,병원
내품애동물병원,동물병원,남양주 와부읍,병원
댕댕이이발소,반려동물미용,남양주 와부읍,미용
로하스동물병원,동물병원,남양주 와부읍,병원
덕소멍묭,반려동물미용,남양주 와부읍,미용
나은온누리약국,약국,남양주 와부읍,약국
플레이주,동물원,남양주 와부읍,위탁
리틀펫애견미용호텔,반려동물호텔,남양주 와부읍,위탁
멍블리,반려동물미용,남양주 와부읍,미용
해피동물병원,동물병원,남양주 와부읍,병원
펫신드룸,동물사료제조,남양주 와부읍,용품
평강약국,약국,남양주 와부읍,약국
멍냥의민족 남양주덕소점,반려동물용품,남양주 와부읍,미용
반려견하우스,애견훈련,남양주 와부읍,위탁
멍냥마트,반려동물용품,남양주 와부읍,미용
어질리티몰,애견훈련,남양주 와부읍,위탁
네이처애견훈련학교,애견훈련,남양주 와부읍,위탁
독스하트아카데미,애견훈련,남양주 와부읍,위탁
독일훈데슐레,애견훈련,남양주 와부읍,위탁
탤런트애견훈련소,애견훈련,남양주 와부읍,위탁
건강드림약국,약국,남양주 와부읍,약국
펫보스,애견용품,남양주 와부읍,용품
두나펫코리아,애견사료,남양주 와부읍,용품
남양주동물병원,동물병원,남양주 평내동,병원
어강동물병원,동물병원,남양주 금곡동,병원
크레아뷰,반려동물호텔,남양주 평내동,위탁
예쁘면 다개,반려동물미용,남양주 평내동,미용
대관령동물병원,동물병원,남양주 금곡동,병원
개벤져스,반려동물미용,남양주 평내동,미용
24시공감365동물의료센터,동물병원,남양주 진접읍,병원
주견야DOG,반려동물미용,남양주 진접읍,미용
수염농장,반려동물,남양주 진접읍,위탁
이리온 동물메디컬센터,동물병원,남양주 진접읍,병원
진접솔동물병원,동물병원,남양주 진접읍,병원
진접 애견유치원 애견호텔 퍼피빈,반려동물,남양주 진접읍,위탁
몽그루밍,반려동물미용,남양주 진접읍,미용
밝은약국,약국,남양주 진접읍,약국
해밀동물병원,동물병원,남양주 진접읍,병원
금강애견학교,애견훈련,남양주 진접읍,위탁
아무도없개 진접점,반려동물용품,남양주 진접읍,미용
주주펫살롱,반려동물미용,남양주 진접읍,미용
멍멍나래,반려동물미용,남양주 진접읍,미용
장현동물병원,동물병원,남양주 진접읍,병원
앵무새카페 리프패럿 진접점,반려동물용품,남양주 진접읍,미용
드림동물병원,동물병원,남양주 진접읍,병원
진접동물병원,동물병원,남양주 진접읍,병원
털뭉치들,반려동물미용,남양주 진접읍,미용
꽃돌이네,반려동물미용,남양주 진접읍,미용
아이묭,반려동물미용,남양주 진접읍,미용
아침약국,약국,남양주 진접읍,약국
별이네펫,반려동물호텔,남양주 진접읍,위탁
이즈메이드,반려동물용품,남양주 진접읍,미용
강아지나라동물병원,동물병원,남양주 진접읍,병원
엣지잇개,반려동물미용,남양주 진접읍,미용
건강플러스약국,약국,남양주 진접읍,약국
다산동물약국,약국,남양주 진접읍,약국
광릉내애견,반려동물미용,남양주 진접읍,미용
미소펫푸드,동물사료제조,남양주 진접읍,용품
에이티바이오,동물사료제조,남양주 진접읍,용품
러블리펫,반려동물용품,남양주 진접읍,미용
비케이컴퍼니,동물사료제조,남양주 진접읍,용품
오션,동물사료제조,남양주 진접읍,용품
펫엔조이,반려동물,남양주 진접읍,위탁
유레크레,반려동물분양,남양주 진접읍,위탁
명인 반려견 방문학교,애견훈련,남양주 진접읍,위탁
네이즈 Products Trading Co.,반려동물용품,남양주 진접읍,미용
두웃,동물사료제조,남양주 진접읍,용품
도마뱀 있ZOO,반려동물용품,남양주 진접읍,미용
이엠연구소 공장,동물사료제조,남양주 진접읍,용품
핫독연기견학교,애견훈련,남양주 진접읍,위탁
영진알비에스,반려동물,남양주 진접읍,용품
엔터펫,반려동물,남양주 진접읍,용품
한라동물약품병원,의약품제조,남양주 진접읍,용품
꼬기랑놀자,수족관,남양주 진접읍,위탁
365종로온누리약국,약국,남양주 진접읍,약국
온드,"카페,디저트",남양주 진접읍,용품
참약사 진접우리약국,약국,남양주 진접읍,약국
유니더버터,"카페,디저트",남양주 진접읍,용품
광릉내열린약국,약국,남양주 진접읍,약국
장보는강아지와고양이 장현점,애견용품,남양주 진접읍,용품
스프링펫,애견용품,남양주 진접읍,용품
글로리펫,애견용품,남양주 진접읍,용품
유니노스,인터넷상거래,남양주 진접읍,용품
이레펫,애견사료,남양주 진접읍,용품
보령산업,제조업,남양주 진접읍,용품
누키스트,가구제조,남양주 진접읍,용품
애니멀리움,반려동물분양,남양주 진건읍,위탁
하이동물병원,동물병원,남양주 오남읍,병원
24시위너스동물의료센터,동물병원,남양주 호평동,병원
동인동물병원,동물병원,남양주 호평동,병원
올리브독,반려동물미용,남양주 호평동,미용
강아지야애견샵,반려동물미용,남양주 오남읍,미용
애니멀하우스,반려동물호텔,남양주 오남읍,위탁
케니애견돌봄센터,반려동물호텔,남양주 호평동,위탁
핏어팻,반려동물미용,남양주 별내동,미용
아마존펫 남양주점,반려동물용품,남양주 호평동,미용
몽몽이엠파크,반려동물장례,남양주 화도읍,용품
루시드펫,반려동물미용,남양주 화도읍,미용
마석동물병원,동물병원,남양주 화도읍,병원
나라라펫,반려동물미용,남양주 화도읍,미용
마이펫동물병원,동물병원,남양주 화도읍,병원
핫독,반려동물미용,남양주 화도읍,미용
창현동물병원,동물병원,남양주 화도읍,병원
대학동물종합병원,동물병원,남양주 화도읍,병원
겟풀 남양주점,반려동물미용,남양주 화도읍,미용
한사랑동물병원,동물병원,남양주 화도읍,병원
오댕이네,반려동물미용,남양주 화도읍,미용
화도동물병원,동물병원,남양주 화도읍,병원
이쁘개이쁘개,반려동물미용,남양주 화도읍,미용
연분홍약국,약국,남양주 화도읍,약국
LIKEFRISE,반려동물미용,남양주 화도읍,미용
강아지를부탁해,반려동물미용,남양주 화도읍,미용
멍블랑,반려동물미용,남양주 화도읍,미용
위드유애견훈련소,애견훈련,남양주 화도읍,위탁
라라그루밍,반려동물미용,남양주 화도읍,미용
동진동물약품,동물병원,남양주 화도읍,병원
푸들리,반려동물미용,남양주 화도읍,미용
doggie,반려동물호텔,남양주 화도읍,위탁
아기공룡마뱀,반려동물용품,남양주 화도읍,미용
몽몽이,반려동물,남양주 화도읍,위탁
몽몽이발소,반려동물미용,남양주 화도읍,미용
퍼펙트독 반려견교육센터 동물에이전시,애견훈련,남양주 화도읍,위탁
빛나개살롱,반려동물미용,남양주 화도읍,미용
초코네애견샵,반려동물미용,남양주 화도읍,미용
깍개,반려동물미용,남양주 화도읍,미용
꼬마펫,반려동물미용,남양주 화도읍,미용
울타리가도와줄개,동물사료제조,남양주 화도읍,용품
도도스타일,반려동물미용,남양주 화도읍,미용
에코바이,동물사료제조,남양주 화도읍,용품
